time,high,low,close,volume
1618178400000,4116.75,4111.75,4116.5,3586
1618179300000,4117.25,4115.25,4116.25,1088
1618180200000,4118,4115.25,4116.25,1043
1618181100000,4116.75,4112.25,4114.75,1519
1618182000000,4115,4112.25,4113.75,1926
1618182900000,4116,4113.25,4113.5,1320
1618183800000,4114,4110.5,4111.75,1629
1618184700000,4112.5,4110.5,4110.5,1700
1618185600000,4111.25,4106,4106.75,4360
1618186500000,4110.5,4106.5,4109.75,2531
1618187400000,4114,4109.5,4114,2643
1618188300000,4114.25,4112.25,4113.5,1934
1618189200000,4114.25,4111.75,4113.5,2084
1618190100000,4114.75,4112.25,4112.5,1932
1618191000000,4112.75,4109,4111.75,2977
1618191900000,4113.25,4109.25,4109.5,2573
1618192800000,4110,4107,4109,2718
1618193700000,4109,4107,4108,1799
1618194600000,4109,4106.5,4107,2000
1618195500000,4108.25,4106.25,4107.75,1194
1618196400000,4109,4106.5,4107.75,1320
1618197300000,4108.75,4107,4107.25,1342
1618198200000,4107.75,4106.5,4107.5,1313
1618199100000,4108.5,4107.5,4108.25,898
1618200000000,4108.5,4107.25,4107.75,799
1618200900000,4109.25,4107.5,4109.25,934
1618201800000,4109.25,4106.75,4107.25,979
1618202700000,4107.75,4106,4106.25,1202
1618203600000,4107,4104.5,4104.5,2167
1618204500000,4108.5,4104.5,4107.75,1674
1618205400000,4108.75,4105.5,4106,1724
1618206300000,4107.25,4105.75,4106.5,1446
1618207200000,4108.75,4105.5,4107,3155
1618208100000,4109,4106.25,4109,1806
1618209000000,4110,4108.5,4109.5,2157
1618209900000,4112.75,4109,4111.5,2722
1618210800000,4113,4107.5,4112,7129
1618211700000,4112.75,4107.75,4109.25,4682
1618212600000,4111.25,4108,4108.75,4548
1618213500000,4110.5,4108,4109,3428
1618214400000,4111.75,4108.5,4110.25,3500
1618215300000,4110.75,4107.75,4107.75,3155
1618216200000,4109.5,4107.5,4109,2503
1618217100000,4111,4108.75,4110.75,1858
1618218000000,4111.75,4110.25,4110.75,1789
1618218900000,4113.5,4110.75,4113.25,2574
1618219800000,4114.25,4111.5,4113.75,2372
1618220700000,4113.75,4112.5,4113.5,1071
1618221600000,4113.75,4111.5,4113.5,2227
1618222500000,4113.75,4110.25,4110.75,1942
1618223400000,4111.75,4110.5,4111.25,1320
1618224300000,4112.25,4110.75,4111.5,2501
1618225200000,4115,4111.25,4113.75,2808
1618226100000,4116.25,4113.25,4115.5,3315
1618227000000,4115.75,4112.5,4114.75,2706
1618227900000,4115.25,4111.75,4112.75,2720
1618228800000,4113.5,4111.25,4111.75,3957
1618229700000,4114,4111.5,4113.75,2464
1618230600000,4114.75,4113,4114.25,3474
1618231500000,4115.25,4113.75,4114,3262
1618232400000,4116.5,4114,4116.5,6487
1618233300000,4117,4112.25,4112.75,10710
1618234200000,4119.25,4112,4116.75,60895
1618235100000,4117.75,4108.5,4112.75,59751
1618236000000,4114.75,4111.5,4112.75,48287
1618236900000,4116.25,4111,4112.75,36290
1618237800000,4113.25,4106,4107.25,45750
1618238700000,4112.5,4106.5,4111.25,34377
1618239600000,4113.5,4110,4111.75,24743
1618240500000,4114.75,4110,4114.25,28819
1618241400000,4114.75,4110.5,4114.25,25914
1618242300000,4116,4111.25,4115.75,19758
1618243200000,4116.25,4113.75,4114.75,14891
1618244100000,4117.75,4112.25,4117.25,24008
1618245000000,4122,4117,4122,32488
1618245900000,4122.25,4120.25,4121,17895
1618246800000,4121.75,4118.25,4119,18187
1618247700000,4119.25,4115.75,4116.5,20383
1618248600000,4116.5,4112.75,4112.75,19462
1618249500000,4115.75,4110.5,4111.75,23669
1618250400000,4115,4111.25,4114.75,28577
1618251300000,4115.5,4112.25,4115.5,17642
1618252200000,4115.5,4112.25,4113.75,17561
1618253100000,4114,4110.5,4112.75,16348
1618254000000,4114.25,4110.25,4111.5,23845
1618254900000,4115.75,4109.5,4114.75,27746
1618255800000,4120.75,4113,4120.25,36281
1618256700000,4123.75,4117.25,4121,124998
1618257600000,4124.5,4120,4121.25,34575
1618259400000,4122.5,4120.75,4122.25,3277
1618260300000,4123.25,4121.75,4122.5,1668
1618264800000,4123.25,4120.25,4120.75,2034
1618265700000,4121.75,4120.5,4121,601
1618266600000,4121.5,4120.5,4120.75,504
1618267500000,4121.5,4120.5,4120.75,511
1618268400000,4121,4119.5,4119.75,1027
1618269300000,4120.5,4119.5,4120.5,554
1618270200000,4122.5,4120.5,4122.5,994
1618271100000,4123.75,4121.25,4121.5,1318
1618272000000,4122.75,4119.75,4122.5,2374
1618272900000,4123,4120,4121.5,1658
1618273800000,4122.25,4120.75,4121.25,999
1618274700000,4121.5,4119.75,4121,1507
1618275600000,4122.25,4120,4120.25,1433
1618276500000,4121.5,4119.25,4121.5,1931
1618277400000,4123,4120,4120.75,3808
1618278300000,4121.75,4119.75,4120,1315
1618279200000,4121.75,4120,4121,1363
1618280100000,4122,4120.75,4121.75,1059
1618281000000,4122.5,4120.5,4120.75,1239
1618281900000,4121.75,4120.5,4121.75,805
1618282800000,4123.25,4121.75,4122.5,1507
1618283700000,4122.75,4120.75,4121,1045
1618284600000,4122,4121,4121.75,595
1618285500000,4122,4119.75,4120.5,1438
1618286400000,4120.25,4119,4120,1244
1618287300000,4120.25,4119.25,4119.5,901
1618288200000,4119.75,4118.25,4118.5,1340
1618289100000,4118.75,4116.25,4117.25,1714
1618290000000,4117.5,4115.25,4115.25,2785
1618290900000,4116,4113.75,4115.75,2546
1618291800000,4117,4114.5,4117,2000
1618292700000,4117.5,4116.25,4116.5,1290
1618293600000,4117.75,4115,4116.75,2104
1618294500000,4118.75,4116,4118.5,1757
1618295400000,4119,4117.5,4118.5,1354
1618296300000,4119,4117.75,4118.25,1795
1618297200000,4120,4118,4118.25,4012
1618298100000,4120.75,4118.25,4120.5,3050
1618299000000,4122.5,4119.75,4120.5,3011
1618299900000,4122.25,4118.75,4122.25,3365
1618300800000,4123.5,4121.25,4122.25,4623
1618301700000,4122.75,4121.25,4122.5,1674
1618302600000,4122.75,4121.75,4122,1397
1618303500000,4122.25,4120.5,4121.25,1328
1618304400000,4121.5,4120.5,4121.25,1481
1618305300000,4123,4121,4121.5,1736
1618306200000,4122.75,4121,4122.5,1474
1618307100000,4126.75,4121.75,4126.5,3880
1618308000000,4127,4122.25,4122.75,3777
1618308900000,4122.75,4120.75,4121,2268
1618309800000,4121.5,4119.75,4120.25,2912
1618310700000,4121.75,4115.5,4117.25,7627
1618311600000,4117.25,4101.25,4107.5,44405
1618312500000,4110,4105.25,4106.5,8872
1618313400000,4111.25,4105.25,4111,6942
1618314300000,4111.25,4108.25,4108.75,5135
1618315200000,4112.75,4108.25,4112.25,6770
1618316100000,4112.75,4110,4110.75,5110
1618317000000,4121,4107,4119.75,22375
1618317900000,4122.5,4119.5,4122.5,9637
1618318800000,4123.75,4119.75,4120.25,11729
1618319700000,4121,4118.5,4119.75,12016
1618320600000,4121.75,4116.25,4116.5,72620
1618321500000,4122.75,4115.5,4122.25,49309
1618322400000,4125.75,4122,4124,40828
1618323300000,4124.5,4121.75,4124,29447
1618324200000,4126.5,4122.25,4124.75,32826
1618325100000,4125.5,4121.5,4122.75,26087
1618326000000,4125,4122.25,4123,26517
1618326900000,4125,4121.75,4125,24160
1618327800000,4126.5,4121.75,4124.25,30093
1618328700000,4125.5,4123,4125.25,15424
1618329600000,4126.25,4123.25,4124.5,18828
1618330500000,4126.25,4123.5,4124,13318
1618331400000,4125.5,4122.5,4123.25,13397
1618332300000,4124,4120.25,4120.75,20286
1618333200000,4123.75,4119.75,4123.5,29141
1618334100000,4124.75,4123,4124.25,11621
1618335000000,4127,4123.5,4126.75,16426
1618335900000,4127,4125.25,4126,13347
1618336800000,4130.5,4125.75,4129.75,30315
1618337700000,4131.5,4129,4131.25,20487
1618338600000,4133,4130.75,4132.25,21105
1618339500000,4135.5,4131.75,4134.5,23454
1618340400000,4139.75,4134.5,4138.25,33733
1618341300000,4139.75,4136.75,4137.75,31294
1618342200000,4138.5,4132,4133.75,39732
1618343100000,4135.75,4131.5,4132.5,91380
1618344000000,4134.5,4132,4134.25,27724
1618345800000,4135.25,4134,4134.25,2306
1618346700000,4134.75,4133,4134.25,2414
1618351200000,4134.75,4132,4132.25,1679
1618352100000,4133.25,4132,4132.75,874
1618353000000,4133.25,4131.5,4131.75,1051
1618353900000,4132.25,4131.5,4132.25,429
1618354800000,4132.25,4130.5,4130.5,956
1618355700000,4131.5,4130.25,4131.25,737
1618356600000,4132.25,4131,4131.5,618
1618357500000,4131.25,4130.25,4130.75,1186
1618358400000,4131.5,4130,4130.25,2937
1618359300000,4131.5,4130,4131.25,2453
1618360200000,4133.75,4130.5,4132.75,1960
1618361100000,4133.25,4130.25,4131,1717
1618362000000,4132,4130.5,4132,850
1618362900000,4134.5,4131.5,4132.75,2701
1618363800000,4133,4130.25,4131.75,2901
1618364700000,4135.25,4131.75,4134,3006
1618365600000,4134.75,4132,4132.25,1649
1618366500000,4133.5,4132,4132.25,1086
1618367400000,4134,4132,4132.5,1341
1618368300000,4132.5,4130.5,4131.5,1649
1618369200000,4131.75,4130.5,4131.5,1184
1618370100000,4132.5,4130.75,4131.25,835
1618371000000,4132.5,4131.25,4131.75,562
1618371900000,4132.5,4131.25,4132.25,577
1618372800000,4133.25,4132,4133,686
1618373700000,4133.75,4132.75,4133.5,783
1618374600000,4134.75,4133,4134.5,860
1618375500000,4136.25,4134.5,4135.5,1355
1618376400000,4137.25,4134.75,4136.5,2156
1618377300000,4136.5,4135,4135.25,998
1618378200000,4136.75,4134.75,4136,1481
1618379100000,4137.75,4136,4137.5,1410
1618380000000,4137.75,4134.25,4134.5,2142
1618380900000,4135.75,4132.75,4134.5,2119
1618381800000,4136.5,4133.75,4135.5,1728
1618382700000,4136,4134.25,4135.25,1291
1618383600000,4137,4134,4136.75,5121
1618384500000,4138,4134.75,4135.75,4213
1618385400000,4138,4135,4136.25,3076
1618386300000,4137.25,4133.25,4134,3574
1618387200000,4136.75,4133.25,4136.25,2708
1618388100000,4138.5,4135,4136.25,2580
1618389000000,4138.5,4136,4137.75,2330
1618389900000,4139,4137.75,4138.25,2231
1618390800000,4139.25,4137.75,4138.75,1843
1618391700000,4138.5,4137,4137.5,2172
1618392600000,4138.5,4137.25,4138.5,1749
1618393500000,4138.5,4137.25,4137.25,2000
1618394400000,4137.25,4135.5,4135.75,2523
1618395300000,4137,4135,4135.5,1965
1618396200000,4137,4135.5,4136.5,1668
