time,high,low,close,volume
1741858200000,5598.75,5591,5598.5,5238
1741859100000,5605.5,5598,5604.5,9224
1741860000000,5608,5602,5606,5941
1741860900000,5609.75,5603,5606.75,5316
1741861800000,5609,5604.75,5608.5,4046
1741862700000,5609.5,5595.5,5599.75,7911
1741863600000,5603,5593,5596.5,6265
1741864500000,5602.5,5586.75,5592,11632
1741865400000,5596.25,5583.5,5584.25,10416
1741866300000,5594.75,5580.25,5590.75,20383
1741867200000,5592,5575.25,5576.5,14231
1741868100000,5586.25,5576,5584.75,9823
1741869000000,5604,5585,5592,25698
1741869900000,5594.75,5584.5,5594.75,16026
1741870800000,5602.75,5594.25,5594.75,15223
1741871700000,5602.5,5593.25,5598,13705
1741872600000,5600,5583.25,5583.5,74471
1741873500000,5588.5,5556.75,5563,75881
1741874400000,5589.75,5557,5589.25,77494
1741875300000,5603.75,5582.5,5584,67818
1741876200000,5596.75,5570.5,5576.25,54033
1741877100000,5586.5,5568,5572.75,49932
1741878000000,5582.5,5559.25,5563,46837
1741878900000,5566.75,5554,5555.5,43286
1741879800000,5563,5537.75,5555.75,76904
1741880700000,5558.5,5536.25,5537.75,58233
1741881600000,5552.75,5535.25,5542.25,50344
1741882500000,5546,5535.5,5538.5,39465
1741883400000,5558.75,5534.25,5544,56011
1741884300000,5546.5,5525.75,5538.75,59311
1741885200000,5546,5525,5528.25,39766
1741886100000,5528.75,5516,5523.5,43965
1741887000000,5524.5,5512.25,5513,35606
1741887900000,5521.75,5509.25,5513.25,39156
1741888800000,5545.5,5512,5540.75,50473
1741889700000,5543.25,5530.5,5543.25,40021
1741890600000,5554.5,5537.75,5552.75,38520
1741891500000,5555.5,5540.5,5552,45865
1741892400000,5559,5534.5,5541.5,48695
1741893300000,5545.5,5521.75,5527.5,44416
1741894200000,5533.25,5516.25,5523.5,56983
1741895100000,5529.25,5514,5528.25,141116
1741896000000,5544.25,5526.75,5543.5,53502
1741896900000,5545,5538.5,5541.25,9044
1741897800000,5542.5,5537,5537.5,6084
1741898700000,5540,5537.5,5537.5,3975
1741903200000,5551.75,5538.75,5550.5,5808
1741904100000,5551.5,5543.25,5547.25,3354
1741905000000,5555,5546.5,5553,3057
1741905900000,5557,5551.25,5552.5,2212
1741906800000,5558.5,5550.5,5556,2404
1741907700000,5556.5,5551.5,5554.25,1938
1741908600000,5556.25,5550.25,5552.75,1803
1741909500000,5556,5552,5552.75,1774
1741910400000,5556.75,5547.5,5556.25,4181
1741911300000,5560.25,5554,5557.25,15182
1741912200000,5567,5556.75,5565.75,12741
1741913100000,5566,5561,5561.75,2257
1741914000000,5565.75,5559.75,5565.25,6217
1741914900000,5565.25,5560,5561.75,5164
1741915800000,5568.25,5558.5,5565.75,2781
1741916700000,5567,5561.25,5561.5,1685
1741917600000,5565.75,5561.25,5565.75,1446
1741918500000,5567.5,5563.75,5565.5,1650
1741919400000,5567.25,5563.5,5564.5,1709
1741920300000,5569.75,5563.5,5567.75,2204
